login,pass,FirstName,Name,Street,Sity,CreditCardNum,CreditCardDate
jojo,bean,Bean,Jojo,Novoe shosse,Moscow MO Leninskiy r,1234567812345670,11/22
averina,salo,David,Averina,Vnukovskaya 3-ya ulitsa,Moscow MO Moscow,1234567812534240,11/22
aleksandrov,sani,Daniil,Aleksandrov,Volgogradskiy prospekt Volzhskiy Bulvar 113a,Moscow MO Moscow,1234567813167630,05/23
andreyev,sapa,Dementiy,Andreyev,kvartal Volzhskiy Bulvar 114a,Moscow MO Moscow,1234567814164430,01/23
anisimov,sard,Denis,Anisimov,kvartal Volzhskiy Bulvar 95,Moscow MO Moscow,1234567815643730,09/23
arkadyev,sari,Dmitpiy,Arkadyev,kvartal Volzhskiy bulvar Volkov pereulok Volkonskiy 1-y,Moscow MO Moscow,1234567821349640,11/22
arkhipov,sashe,Yevgeniy,Arkhipov,pereulok Volkonskiy 2-y,Moscow MO Moscow,1234567825735360,09/23
barinov,sbeg,Yevdokim,Barinov,pereulok Volovya ,Moscow MO Moscow,1234567829544050,03/23
bezrukov,sbir,Yegor,Bezrukov,proyezd Volokolamskiy 3-y,Moscow MO Moscow,1234567831521800,09/23
belokrylov,sboy,Yelisey,Belokrylov,ulitsa Volynskaya ,Moscow MO Moscow,1234567835312730,05/23
berdinskikh,sbor,Yermolay,Berdinskikh,Polevoy pereulok Polenova,Moscow MO Moscow,1234567838210570,08/23
berestov,sbyt,Zhan,Berestov,ulitsa Polesskiy proyezd Polikarpova,Moscow MO Moscow,1234567843565730,05/23
bogdanov,sval,Kirill,Bogdanov,ulitsa Polimernaya ,Moscow MO Moscow,1234567849361180,11/22
bondarenko,svan,Klimentiy,Bondarenko,ulitsa Politekhnicheskiy proyezd Polkovaya ,Moscow MO Moscow,1234567849689100,09/23
bratislavskaya,svat,Konstantin,Bratislavskaya,ulitsa Polotskaya ,Moscow MO Moscow,1234567850927400,03/23
vsnetsov,svaya,Lavrentiy,vsnetsov,pereulok Polyanskiy pereulok Polyany,Moscow MO Moscow,1234567856392430,12/22
vershinina,sves,Lazar,Vershinina,ulitsa Polyarnaya ,Moscow MO Moscow,1234567858281830,04/23
vishnevskaya,svet,Lev,Vishnevskaya,proyezd Poperechnyy 2-y,Moscow MO Moscow,1234567860995780,12/22
vladov,svikh,Leonid,Vladov,proyezd Poperechnyy,Moscow MO Moscow,1234567862951330,08/23
volkov,svishch,Leontiy,Volkov,ulitsa Poliny Osipenko,Moscow MO Moscow,1234567863650470,03/23
volochkov,svod,Lukyan,Volochkov,ulitsa Volnaya ,Moscow MO Moscow,1234567866974630,05/23
